Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
1340,"1678288","USA SWAROV HOLDING GROUP LIMITED","美國施華洛國際投資控股集團有限公司","Company Registration Number 1678288 Limited","公司註冊編號 1678288 有限公司"," 13-03-2013"
1341,"1802067","USA Spatdjhr Motion Co., Limited","美國斯伯丁運動有限公司","Company Registration Number 1802067 Limited","公司註冊編號 1802067 有限公司"," 10-10-2013"
1342,"1733233","USA Star Siboding Sports Goods Co., Limited","美國球星斯伯丁體育用品有限公司","Company Registration Number 1733233 Limited","公司註冊編號 1733233 有限公司"," 05-06-2013"
1343,"2058499","USA WANTONG FINANCE INVESTMENT GUARANTEE (HK) GROUP LIMITED","美國萬通金融投資擔保(香港)集團有限公司","USA WANTONG FINANCE INVESTMENT GUARANTEE (HK) GROUP LIMITED","公司註冊編號 2058499 有限公司"," 23-04-2015"
1344,"1928451","USA WEIKEDUN. MEIFU OIL CHEMICAL (HONGKONG) LIMITED","美國威克頓．美孚石化(香港)有限公司","USA WEIKEDUN. MEIFU OIL CHEMICAL (HONGKONG) LIMITED","公司註冊編號 1928451 有限公司"," 26-11-2014"
1345,"1737481","USA WEST MEIFU GROUP DUOLEJIA OIL LIMITED","美國西部美孚集團多樂加石油有限公司","USA WEST MEIFU GROUP DUOLEJIA OIL LIMITED","公司註冊編號 1737481 有限公司"," 08-07-2014"
1346,"2264354","Union International investment Limited","銀聯國際企業(香港)有限公司","Company Registration Number 2264354 Limited","公司註冊編號 2264354 有限公司"," 07-09-2017"
1347,"2605969","United Trinity Development Limited","三一聯合發展有限公司","United Trinity Development Limited","公司註冊編號 2605969 有限公司"," 02-01-2019"
1348,"2739608","Urban Revamping Company Limited","市區重建有限公司","Company Registration Number 2739608 Limited","公司註冊編號 2739608 有限公司"," 09-01-2019"
1349,"1724088","Usa Exxon Mobil Oil Limited","美國埃克森美孚石油有限公司","Company Registration Number 1724088 Limited","公司註冊編號 1724088 有限公司"," 07-07-2014"
1350,"1656274","VICTORIA'S SECRET (ASIA) CO., LIMITED","維多利亞的秘密(亞洲)有限公司","Company Registration Number 1656274 Limited","公司註冊編號 1656274 有限公司"," 13-08-2019"
1351,"2726957","VISTRA LIMITED","","Company Registration Number 2726957 Limited",""," 31-07-2019"
1352,"1145309","VOLKSWAGEN AUTO APPLIANCES RESOURCES (H.K.) LIMITED","大眾汽車備品資源(香港)有限公司","Company Registration Number 1145309 Limited","公司註冊編號 1145309 有限公司"," 10-07-2012"
1353,"2541639","Victoria International Model broker Co., Limited","維多利亞的秘密模特經紀有限公司","Company Registration Number 2541639 Limited","公司註冊編號 2541639 有限公司"," 28-01-2019"
1354,"1956288","Victoria's Secret Underwear (Hong Kong) Co., Limited","維多利亞的秘密(香港)內衣有限公司","Company Registration Number 1956288 Limited","公司註冊編號 1956288 有限公司"," 28-08-2019"
1355,"2027012","WECHAT CO., LIMITED","微信有限公司","Company Registration Number 2027012 Limited","公司註冊編號 2027012 有限公司"," 18-12-2014"
1356,"2107495","WELLS FARGO GLOBAL INVESTMENTS (HONG KONG) CO., LIMITED","富國環球投資(香港)有限公司","Company Registration Number 2107495 Limited","公司註冊編號 2107495 有限公司"," 07-09-2015"
1357,"1715699","WHIRLPOOL (CHINA) CO., LIMITED","惠而浦(中國)有限公司","Company Registration Number 1715699 Limited","公司註冊編號 1715699 有限公司"," 20-08-2014"
1358,"1761119","WIN LUCK LOGISTICS LIMITED","佳昇物流有限公司","WIN LUCK LOGISTICS LIMITED","公司註冊編號 1761119 有限公司"," 20-08-2019"
1359,"2061044","WINGLEE NEW TRADE CO., LIMITED","永利新貿易有限公司","WINGLEE NEW TRADE CO., LIMITED","公司註冊編號 2061044 有限公司"," 14-01-2015"
